0	756
1	694
2	704
3	636
4	741
5	692
6	681
7	714
8	724
9	675
10	717
11	766
12	770
13	700
14	711
15	736
16	722
17	671
18	659
19	770
20	788
21	695
22	722
23	724
24	645
25	746
26	696
27	626
28	644
29	738
30	658
31	717
32	706
33	735
34	713
35	767
36	687
37	701
38	725
39	751
40	722
41	735
42	702
43	653
44	756
45	645
46	708
47	724
48	720
49	689
50	719
51	715
52	704
53	781
54	701
55	742
56	762
57	742
58	707
59	635
60	749
61	691
62	699
63	693
64	724
65	749
66	714
67	689
68	715
69	722
70	719
71	749
72	801
73	802
74	718
75	729
76	703
77	673
78	705
79	675
80	759
81	656
82	704
83	778
84	781
85	820
86	776
87	732
88	710
89	690
90	762
91	728
92	737
93	691
94	772
95	787
96	760
97	740
98	688
99	751
100	756
101	725
102	744
103	771
104	647
105	696
106	682
107	655
108	742
109	675
110	636
111	812
112	741
113	671
114	656
115	720
116	667
117	739
118	655
119	769
120	660
121	724
122	820
123	699
124	679
125	649
126	769
127	718
128	690
129	737
130	715
131	732
132	731
133	819
134	688
135	804
136	766
137	800
138	652
139	705
140	740
141	703
142	727
143	686
144	743
145	726
146	682
147	660
148	729
149	708
150	709
151	770
152	638
153	708
154	737
155	747
156	720
157	750
158	709
159	720
160	733
161	701
162	666
163	714
164	783
165	669
166	794
167	762
168	735
169	820
170	801
171	807
172	741
173	743
174	746
175	745
176	720
177	712
178	654
179	726
180	721
181	708
182	657
183	753
184	723
185	745
186	789
187	644
188	670
189	693
190	688
191	717
192	712
193	766
