1800 	0.00
3600 	0.00
5400 	0.00
7200 	0.00
9000 	0.00
10800 	0.00
12600 	0.00
14400 	0.00
16200 	0.00
18000 	0.00
19800 	0.00
21600 	1.09
23400 	1.40
25200 	1.42
27000 	1.42
28800 	1.44
30600 	1.44
32400 	1.44
34200 	1.45
36000 	1.45
37800 	1.46
39600 	1.46
41400 	1.46
43200 	1.46
45000 	1.46
46800 	1.46
48600 	1.48
50400 	1.48
52200 	1.48
54000 	1.48
55800 	1.48
57600 	1.48
59400 	1.48
61200 	1.48
63000 	1.48
64800 	1.48
66600 	1.48
68400 	1.48
70200 	1.48
72000 	1.48
73800 	1.50
75600 	1.50
77400 	1.50
79200 	1.50
81000 	1.50
82800 	1.50
84600 	1.50
86400 	1.50
88200 	1.50
90000 	1.50
91800 	1.50
93600 	1.50
95400 	1.50
97200 	1.50
99000 	1.50
100800 	1.50
102600 	1.50
104400 	1.50
106200 	1.50
108000 	1.50
109800 	1.50
111600 	1.50
113400 	1.50
115200 	1.50
117000 	1.50
118800 	1.50
120600 	1.50
122400 	1.50
124200 	1.50
126000 	1.50
127800 	1.50
129600 	1.50
131400 	1.50
133200 	1.50
135000 	1.50
136800 	1.50
138600 	1.50
140400 	1.50
142200 	1.50
144000 	1.50
145800 	1.50
147600 	1.50
149400 	1.50
151200 	1.50
153000 	1.50
154800 	1.50
156600 	1.50
158400 	1.50
160200 	1.50
162000 	1.50
163800 	1.50
165600 	1.50
167400 	1.50
169200 	1.50
171000 	1.50
172800 	1.50
174600 	1.50
176400 	1.50
178200 	1.50
180000 	1.50
181800 	1.50
183600 	1.50
185400 	1.50
187200 	1.50
189000 	1.50
190800 	1.50
192600 	1.50
194400 	1.50
196200 	1.50
198000 	1.50
199800 	1.50
201600 	1.50
203400 	1.50
205200 	1.50
207000 	1.50
208800 	1.50
210600 	1.50
212400 	1.50
214200 	1.50
216000 	1.50
217800 	1.50
219600 	1.50
221400 	1.50
223200 	1.50
225000 	1.50
226800 	1.50
228600 	1.50
230400 	1.50
232200 	1.50
234000 	1.50
235800 	1.50
237600 	1.50
239400 	1.50
241200 	1.50
243000 	1.50
244800 	1.50
246600 	1.50
248400 	1.50
250200 	1.50
252000 	1.50
253800 	1.50
255600 	1.50
257400 	1.50
259200 	1.50
261000 	1.50
262800 	1.50
264600 	1.50
266400 	1.50
268200 	1.50
270000 	1.50
271800 	1.50
273600 	1.50
